Name of Satellite  Alternate Names,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Angle,Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,new_purpose,new_country,new_year,new_month,new_day,avgDis,new_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ParkinsonSat-2 (Navy-Oscar-104),NR (11/19),USA,US Naval Academy,Military,Technology Development,NAN,Elliptical,NAN,0,306,848,-0.35,0.04,28.5,96.2,6,NAN,NAN,6/25/19,NAN,US Naval Academy,USA,Cape Canaveral,Falcon Heavy,2019-036R,44354,Military,USA,2019,6,25,577,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumba (part of Cluster quartet  Cluster 2 FM5),ESA,ESA,European Space Agency (ESA) (and 250 international scientific investigators),Government,Space Science,NAN,Elliptical,Deep Highly Eccentric,0,17240,120715,1.77,0.69,90.8,3431.1,1200,478,224,8/9/00,4,Dornier Systems (Astrium) and 35 subcontractors,International,Baikonur Cosmodrome,Soyuz,2000-045A,26463,Government,Others,2000,8,9,68977.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsa (part of Cluster quartet  Cluster 2 FM6),ESA,ESA,European Space Agency (ESA) (and 250 international scientific investigators),Government,Space Science,NAN,Elliptical,Deep Highly Eccentric,0,21998,110256,0.92,0.61,90.7,3418,1200,478,220,7/16/00,4,Dornier Systems (Astrium) and 35 subcontractors,International,Baikonur Cosmodrome,Soyuz,2000-041A,26410,Government,Others,2000,7,16,66127,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samba (part of Cluster quartet  Cluster 2 FM7),ESA,ESA,European Space Agency (ESA) (and 250 international scientific investigators),Government,Space Science,NAN,Elliptical,Deep Highly Eccentric,0,22017,110791,3.13,0.61,132.98,3430.28,1200,478,220,7/16/00,4,Dornier Systems (Astrium) and 35 subcontractors,International,Baikonur Cosmodrome,Soyuz,2000-041B,26411,Government,Others,2000,7,16,66404,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS III-4 (Satellite Data System) (NRO L-1  USA 179  Quasar),USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,Data Relay,Elliptical,Molniya,0,500,39850,2.3,0.74,63.4,717.7,NAN,NAN,NAN,8/31/04,10,Hughes Space and Communications Co.,USA,Cape Canaveral,Atlas 2AS,2004-034A,28384,Military,USA,2004,8,31,20175,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS III-5 (Satellite Data System) (NRO L-24  USA 198  Quasar),USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,Data Relay,Elliptical,Molniya,0,400,39966,1.8,0.75,60,718,NAN,NAN,NAN,12/10/07,10,National Reconnaissance Laboratory,USA,Cape Canaveral,Atlas 5,2007-060A,32378,Military,USA,2007,12,10,20183,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirius 1 (SD Radio 1),USA,USA,Sirius XM Holdings,Commercial,Communications,NAN,Elliptical,Molniya,0,23783,47100,-2.63,0.28,63.3,1418.5,3727,1570,NAN,6/30/00,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2000-035A,26390,Commercial,USA,2000,6,30,35441.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirius 2 (SD Radio 2),USA,USA,Sirius XM Holdings,Commercial,Communications,NAN,Elliptical,Molniya,0,12849,47048,-0.75,0.47,63.3,1148.43,3792,1570,NAN,9/5/00,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2000-051A,26483,Commercial,USA,2000,9,5,29948.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirius 3 (SD Radio 3),USA,USA,Sirius XM Holdings,Commercial,Communications,NAN,Elliptical,Molniya,0,6179,47086,-1.9,0.62,63.4,994.83,3727,1570,NAN,11/30/00,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2000-077A,26626,Commercial,USA,2000,11,30,26632.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLDCOM-3 (Satellite Launch Dispenser Communications System) (USA 119),USA,USA,National Reconnaissance Office (NRO),Military,Communications,NAN,Elliptical,Molniya,0,1200,11600,2.78,0.41,63.4,240,NAN,NAN,NAN,5/12/96,NAN,National Reconnaissance Laboratory,USA,Vandenberg AFB,Titan IV,1996-029A,23893,Military,USA,1996,5,12,6400,1990 - 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spektr-R/RadioAstron,Russia,Multinational,Astro Space Center of Moscow/Russian Academy of Sciences,Government,Space Science,NAN,Elliptical,Cislunar,0,1000,330000,2.45,0.96,51.46,11520,3660,NAN,NAN,7/18/11,5,Lavochkin,Russia,Baikonur Cosmodrome,Zenit 3SLBF/Fregat SB,2011-037A,37755,Government,Multinational,2011,7,18,165500,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIRALE-A (Syst??me Pr??paratoire Infra-Rouge pour l'Alerte),France,France,Ministry of Defense/General Delegation for Ordnance (DGA),Military,Technology Development,Infrared Imaging,Elliptical,NAN,0,240,31342,-1.1,0.7,2,547,117,NAN,NAN,2/11/09,NAN,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2009-008C,33751,Military,Others,2009,2,11,15791,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIRALE-B (Syst??me Pr??paratoire Infra-Rouge pour l'Alerte),France,France,Ministry of Defense/General Delegation for Ordnance (DGA),Military,Technology Development,Infrared Imaging,Elliptical,NAN,0,389,17480,1.81,0.56,2.1,314,117,NAN,NAN,2/11/09,NAN,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2009-008D,33752,Military,Others,2009,2,11,8934.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TacSat 4,USA,USA,Naval Research Laboratory,Military,Technology Development,NAN,Elliptical,Molniya,0,658,11836,-1.03,0.44,63.64,235.16,450,NAN,1000,9/27/11,NAN,Naval Research Laboratory/Johns Hopkins University Applied Physics Laboratory,USA,Kodiak Launch Complex,Minotaur 4,2011-052A,37818,Military,USA,2011,9,27,6247,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tango (part of Cluster quartet  Cluster 2 FM8),ESA,ESA,European Space Agency (ESA) (and 250 international scientific investigators),Government,Space Science,NAN,Elliptical,Deep Highly Eccentric,0,17313,120961,2.42,0.69,90.7,3442,1200,478,220,8/9/00,4,Dornier Systems (Astrium) and 35 subcontractors,International,Baikonur Cosmodrome,Soyuz,2000-045B,26464,Government,Others,2000,8,9,69137,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
