Name of Satellite  Alternate Names,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Angle,Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,new_purpose,new_country,new_year,new_month,new_day,avgDis,new_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRSI-Sat,NR (3/20),Germany,ACME AtronOmatic (MyRadar),Commercial,Technology Development,NAN,LEO,Sun-Synchronous,0,328,373,-0.75,0,97,92.1,1,NAN,NAN,12/6/19,NAN,ACME AtronOmatic (MyRadar),Germany,Rocket Lab Launch Complex 1,Electron,2019-084G,44831,Commercial,Others,2019,12,6,350.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tselina-2 (Cosmos 2428),Russia,Russia,Ministry of Defense,Military,Earth Observation,NAN,LEO,Polar,0,844,858,1.02,0,71,102,3200,NAN,NAN,6/29/07,NAN,KB Yuznoye,Ukraine,Baikonur Cosmodrome,Zenit 2M,2007-029A,31792,Military,Russia,2007,6,29,851,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSUBAME,Japan,Japan,Tokyo Institute of Technology  Tokyo University of Science and JAXA,Civil,Earth Observation,NAN,LEO,Sun-Synchronous,0,505,569,2.05,0,97.47,95.38,49,NAN,NAN,11/6/14,NAN,Tokyo Institute of Technology  Tokyo University of Science and JAXA,Japan,Dombarovsky Air Base,Dnepr,2014-070E,40302,Civil,Others,2014,11,6,537,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUGSat-1????(Technische Universit??t Graz Satellit  CanX-3b  BRITE-Austria),Austria,Austria,Technical University of Graz,Civil,Technology Development,NAN,LEO,Sun-Synchronous,0,770,784,-0.95,0,98.6,100.3,14,7,5.4,2/25/13,NAN,University of Toronto Institute for Aerospace Studies (UTIAS),Canada,Satish Dhawan Space Centre,PSLV,2013-009F,39091,Civil,Others,2013,2,25,777,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyvak 0092 (Commtrail  NANOVA),NR (3/20),Israel,Elbit Systems,Commercial,Technology Development,NAN,LEO,Non-Polar Inclined,0,563,576,-2.01,0,36.9,96.1,5,NAN,NAN,12/11/19,NAN,Elbit Systems,Israel,Satish Dhawan Space Centre,PSLV,2019-089A,44852,Commercial,Others,2019,12,11,569.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyvak 0129,NR (3/20),Israel,Elbit Systems,Commercial,Technology Development,NAN,LEO,Non-Polar Inclined,0,566,575,-2.48,0,36.9,96.1,5,NAN,NAN,12/11/19,NAN,ElbitSystems,Israel,Satish Dhawan Space Centre,PSLV,2019-089G,44858,Commercial,Others,2019,12,11,570.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyvak-53b,NR,USA,Tyvak Nanosatellite Systems  Inc.,Commercial,Technology Demonstration,Optical Imaging,LEO,Sun-Synchronous,0,497,516,0.47,0,97.45,94.7,5,NAN,NAN,6/23/17,NAN,Tyvak Nanosatellite Systems  Inc.,USA,Satish Dhawan Space Centre,PSLV,2017-036AG,42795,Commercial,USA,2017,6,23,506.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyvak-61c,NR,USA,Tyvak Nanosatellite Systems  Inc.,Commercial,Technology Demonstration,Optical Imaging,LEO,Sun-Synchronous,0,493,504,2.97,0,97.5,94.5,10,NAN,NAN,1/11/18,NAN,Tyvak Nanosatellite Systems  Inc.,USA,Satish Dhawan Space Centre,PSLV,2018-004AK,43144,Commercial,USA,2018,1,11,498.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uguisu,NR (11/19),Japan,Kyushu Institute of Technology,Civil,Earth Observation,NAN,LEO,Non-Polar Inclined,0,405,415,-0.63,0,51.6,92.7,1,NAN,NAN,6/17/19,1.5,Kyushu Institute of Technology (KIT),Japan,International Space Station,J-SSOD Deployer,1998-067QG,44331,Civil,Others,2019,6,17,410,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UiTMSAT-1 (Birds-2),NR,Malaysia,Universiti Teknologi Mara (UiTM),Civil,Earth Observation,Earth Science,LEO,Non-Polar Inclined,0,398,408,-2.02,0,51.6,92.6,1,NAN,NAN,8/10/18,2,Kyushu Institute of Technology (KIT),Japan,International Space Station,J-SSOD Deployer,1998-067PD,43589,Civil,Others,2018,8,10,403,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK-DMC-2 (BNSCSat-2  British National Science Center Satellite 2),United Kingdom,United Kingdom,UK/DMC International Imaging (DMCII),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,660,662,0,0,98,98,97,NAN,NAN,7/29/09,5,Surrey Satellite Technology Ltd. (SSTL),UK,Baikonur Cosmodrome,Dnepr,2009-041C,35683,Government,Others,2009,7,29,661,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKube-1 (UK Cubesat 1),United Kingdom,United Kingdom,UK Space Agency,Government,Technology Development,NAN,LEO,Sun-Synchronous,0,626,631,-2.92,0,98.4,97.27,3,NAN,NAN,7/8/14,NAN,Clyde Space,UK,Baikonur Cosmodrome,Soyuz-2.1b,2014-037F,40074,Government,Others,2014,7,8,628.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIFORM 1????(UNiversity International FORmation Mission 1),Japan,Japan,Wakayama University (UNIFORM consortium),Civil,Earth Observation,NAN,LEO,Sun-Synchronous,0,622,629,-0.77,0,97.87,97.2,50,NAN,140,5/24/14,NAN,Wakayama University and other Japanese universities,Japan,Tanegashima Space Center,H2A,2014-029B,39767,Civil,Others,2014,5,24,625.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNITE (Undergraduate Nano Ionospheric Temperature Explorer),NR (11/19),USA,University of Southern Indiana/NASA,Civil,Space Science,NAN,LEO,Non-Polar Inclined,0,403,407,-2.39,0,51.6,92.7,5,NAN,NAN,1/31/19,NAN,University of Southern Indiana/NASA,USA,International Space Station,Nanorack Deployer,1998-067PX,44031,Civil,USA,2019,1,31,405,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ursa Maior ((University of Rome la SApienza MicroAttitude In ORbit testing  QB50 IT02),Belgium,Italy,University of Rome,Civil,Earth Science,NAN,LEO,Sun-Synchronous,0,496,512,-0.36,0,97.45,94.7,5,NAN,NAN,6/23/17,NAN,University of Rome - La Sapienza,Italy,Satish Dhawan Space Centre,PSLV,2017-036M,42776,Civil,Others,2017,6,23,504,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWE-3 (University of W??rzburg Experimental Satellite 3),Germany,Germany,University of W??rzburg,Civil,Communications,Optical Imaging,LEO,Sun-Synchronous,0,593,700,-2.8,0.01,97.8,97.6,1,NAN,NAN,11/21/13,NAN,University of W??rzburg,Germany,Dombarovsky Air Base,Dnepr,2013-066AG,39446,Civil,Others,2013,11,21,646.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UWE-4 (University of W??rzburg Experimental Satellite 4),Germany,Germany,University of W??rzburg,Civil,Technology Development/Educational,NAN,LEO,Sun-Synchronous,0,572,585,1.08,0,97.7,96.2,2,NAN,NAN,12/27/18,NAN,University of W??rzburg,Germany,Vostochny Cosmodrome,Soyuz 2.1a,2018-111E,43880,Civil,Others,2018,12,27,578.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDNH-80,Russia,Russia,Moscow State University,Civil,Space Science,NAN,LEO,Sun-Synchronous,0,514,545,0.42,0,97.5,95.2,4,NAN,NAN,7/5/19,NAN,Moscow State University,Russia,Vostochny Cosmodrome,Soyuz 2.1b,2019-038G,44392,Civil,Russia,2019,7,5,529.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velox 1,NR,Singapore,Nanyang Technological University,Civil,Technology Development,NAN,LEO,Sun-Synchronous,0,642,655,-2.59,0,98.25,97.7,4,NAN,NAN,6/30/14,NAN,Nanyang Technological University,Singapore,Satish Dhawan Space Centre,PSLV-CA,2014-034E,40057,Civil,Others,2014,6,30,648.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velox 2,NR,Singapore,Nanyang Technological University,Civil,Technology Development,NAN,LEO,Equatorial,0,537,550,2.93,0,14.98,95.48,13,NAN,NAN,12/16/15,NAN,Nanyang Technological University,Singapore,Satish Dhawan Space Centre,PSLV-C29,2015-077F,41171,Civil,Others,2015,12,16,543.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velox C1,NR,Singapore,Nanyang Technological University,Civil,Technology Development,Optical Imaging,LEO,Equatorial,0,533,550,1.51,0,14.98,95.48,123,NAN,NAN,12/16/15,NAN,Nanyang Technological University,Singapore,Satish Dhawan Space Centre,PSLV-C29,2015-077A,41166,Civil,Others,2015,12,16,541.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ven??s,Israel,France/Israel,Centre National d'Etudes Spatiales (CNES)/Israel Space Agency,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,719,724,-1.78,0,98.3,99.2,264,NAN,NAN,8/1/17,4.5,Israel Aerospace Industries (IAI),Israel,Guiana Space Center,Vega,2017-044B,42901,Government,Others,2017,8,1,721.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venta-1,NR,Latvia,Ventspils University College,Civil,Technology Development,NAN,LEO,Sun-Synchronous,0,496,508,-2.34,0,97.45,94.7,5,NAN,NAN,6/23/17,NAN,Ventspils High Technology Park/Bremen University of Applied Sciences/OHB Systems,Latvia/Germany,Satish Dhawan Space Centre,PSLV,2017-036AC,42791,Civil,Others,2017,6,23,502,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNREDSat 1A????(Vietnam Natural Resources Environment and Disaster monitoring small Satellite),NR,Vietnam,Space Technology Institute-Vietnam Academy of Science and Technology (STI-VAST),Government,Earth Observation,NAN,LEO,Sun-Synchronous,0,682,685,-1.02,0,98.13,98.43,115,NAN,NAN,5/7/13,5,EADS Astrium,France,Guiana Space Center,Vega,2013-021B,39160,Government,Others,2013,5,7,683.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRSS-1 (Venezuelan Remote Sensing Satellite  Francisco Miranda),Venezuela,Venezuela,Bolivarian Agency for Space Activities,Government,Earth Observation,NAN,LEO,Sun-Synchronous,0,622,654,-0.53,0,98.03,97.48,880,NAN,NAN,9/28/12,5,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2012-052A,38782,Government,Others,2012,9,28,638,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRSS-2 (Antonio Jose de Sucre),NR,Venezuela,Bolivarian Agency for Space Activities,Government,Earth Observation ,NAN,LEO,Sun-Synchronous,0,629,654,-0.57,0,98.02,97.55,1000,NAN,NAN,10/9/17,5,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2017-060A,42954,Government,Others,2017,10,9,641.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VZLUSat-1 (QB50 CZ02),Belgium,Czech Republic,Czech Aerospace Research Center (VZLU),Government,Technology Development,NAN,LEO,Sun-Synchronous,0,497,515,1.69,0,97.45,94.7,3,NAN,NAN,6/23/17,NAN,Czech Aerospace Research Center (VZLU) and partners,Czech Republic,Satish Dhawan Space Centre,PSLV,2017-036AB,42790,Government,Others,2017,6,23,506,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weina-1A,China,China,Shanghai Micro Satellite Engineering Center,Government,Technology Development,NAN,LEO,Non-Polar Inclined,0,594,601,-1.57,0,35,96.3,1,NAN,NAN,1/25/18,NAN,Shanghai Micro Satellite Engineering Center,China,Xichang Satellite Launch Center,Long March 2C,2018-011A,43169,Government,China,2018,1,25,597.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNISat-1 (Weather News Inc. Satellite 1),Japan,Japan,Weathernews  Inc.,Commercial,Earth Observation,NAN,LEO,Sun-Synchronous,0,594,849,-0.72,0.02,97.8,99.2,10,NAN,NAN,11/21/13,2,Axelspace,Japan,Dombarovsky Air Base,Dnepr,2013-066H,39423,Commercial,Others,2013,11,21,721.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNISat-1R (Weather News Inc. Satellite 1R),Japan,Japan,Weathernews  Inc.,Commercial,Earth Observation,NAN,LEO,Sun-Synchronous,0,586,606,-0.47,0,97.6,96.6,43,NAN,NAN,7/14/17,NAN,Axelspace,Japan,Baikonur Cosmodrome,Soyuz 2.1a,2017-042L,42835,Commercial,Others,2017,7,14,596,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worldview 1,USA,USA,Maxar Technologies Inc.,Commercial,Earth Observation,NAN,LEO,Sun-Synchronous,0,491,494,2.73,0,97.3,94.5,4500,NAN,3200,9/18/07,7.25,Ball Aerospace,USA,Vandenberg AFB,Delta 2,2007-041A,32060,Commercial,USA,2007,9,18,492.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worldview 2,USA,USA,Maxar Technologies Inc.,Commercial,Earth Observation,NAN,LEO,Sun-Synchronous,0,765,767,-2.97,0,98.5,100.2,2800,NAN,NAN,10/8/09,NAN,Ball Aerospace,USA,Vandenberg AFB,Delta 2,2009-055A,35946,Commercial,USA,2009,10,8,766,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worldview 3,USA,USA,Maxar Technologies Inc.,Commercial,Earth Observation,NAN,LEO,Sun-Synchronous,0,612,614,1.63,0,97.99,96.96,2800,NAN,3100,8/13/14,12,Ball Aerospace,USA,Vandenberg AFB,Atlas 5,2014-048A,40115,Commercial,USA,2014,8,13,613,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaoxiang 1-04,NR (11/19),China,Spacety Aerospace Co.,Commercial,Technology Development,NAN,LEO,Non-Polar Inclined,0,556,575,2.33,0,45,96,8,NAN,NAN,6/5/19,NAN,Spacety Aerospace Co.,China,Yellow Sea Launch Platform,Long March 11,2019-032D,44313,Commercial,China,2019,6,5,565.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaoxiang 1-07,NR (11/19),China,Spacety Aerospace Co.,Commercial,Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,592,607,0.25,0,97.7,96.7,10,NAN,NAN,8/30/19,NAN,Spacety Aerospace Co.,China,Jiuquan Satellite Launch Center,Kuaizhou 1A,2019-058A,44519,Commercial,China,2019,8,30,599.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xingshidai 5,NR (11/19),China,Chengdu Guoxing Aerospace Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,529,560,-1.94,0,97.6,95.5,10,NAN,NAN,8/17/19,NAN,MinoSpace Technology,China,Jiuquan Satellite Launch Center,Jielong 1,2019-052C,44488,Commercial,China,2019,8,17,544.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinyan 1 (XY-1),NR,China,DFH Satellite Co. Ltd.,Government,Technology Development,NAN,LEO,Sun-Synchronous,0,489,501,1.35,0,97.35,94.51,NAN,NAN,NAN,11/18/12,NAN,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 2C,2012-064C,38999,Government,China,2012,11,18,495,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XJS-A (New Technology Test Satellite-A),China,China,Unknown,Government,Technology Development,NAN,LEO,Non-Polar Inclined,0,477,486,2.99,0,35,94.23,NAN,NAN,NAN,6/27/18,NAN,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 2C,2018-054A,43518,Government,China,2018,6,27,481.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XJS-B (New Technology Test Satellite-B),China,China,Unknown,Government,Technology Development,NAN,LEO,Non-Polar Inclined,0,477,486,-0.35,0,35,94.23,NAN,NAN,NAN,6/27/18,NAN,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 2C,2018-054B,43519,Government,China,2018,6,27,481.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XJS-C (New Technology Test Satellite-C),NR (4/20),China,Unknown,Government,Technology Development,NAN,LEO,Non-Polar Inclined,0,476,483,-1.68,0,35.01,94.19,NAN,NAN,NAN,2/19/20,NAN,Shanghai Academy of Spaceflight Technology,China,Xichang Satellite Launch Center,Long March 2D,2020-014A,45249,Government,China,2020,2,19,479.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XJS-D (New Technology Test Satellite-D),NR (4/20),China,Unknown,Government,Technology Development,NAN,LEO,Non-Polar Inclined,0,476,481,-1.02,0,35.01,94.19,NAN,NAN,NAN,2/19/20,NAN,Shanghai Academy of Spaceflight Technology,China,Xichang Satellite Launch Center,Long March 2D,2020-014B,45250,Government,China,2020,2,19,478.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XJS-E (New Technology Test Satellite-E),NR (4/20),China,Unknown,Government,Technology Development,NAN,LEO,Non-Polar Inclined,0,474,483,-1.41,0,35.01,94.17,NAN,NAN,NAN,2/19/20,NAN,Harbin Institute of Technology/DFH Satellite Co. Ltd.,China,Xichang Satellite Launch Center,Long March 2D,2020-014C,45251,Government,China,2020,2,19,478.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XJS-F (New Technology Test Satellite-F),NR (4/20),China,Unknown,Government,Technology Development,NAN,LEO,Non-Polar Inclined,0,475,481,0.19,0,35.01,94.16,NAN,NAN,NAN,2/19/20,NAN,Harbin Institute of Technology/DFH Satellite Co. Ltd.,China,Xichang Satellite Launch Center,Long March 2D,2020-014D,45252,Government,China,2020,2,19,478,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPNav-1,China,China,China Aerospace Science and Technology Corp. (CASC),Government,Technology Development,NAN,LEO,Sun-Synchronous,0,493,513,1.43,0,97.4,94.68,240,NAN,NAN,11/9/16,NAN,China Aerospace Science and Technology Corp. (CASC),China,Jiuquan Satellite Launch Center,Long March 11,2016-066A,41841,Government,China,2016,11,9,503,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X-Sat,NR,Singapore,Centre for Research in Satellite Technology (CREST),Government,Earth Observation,NAN,LEO,Sun-Synchronous,0,801,823,2.05,0,98.7,101.1,91,NAN,175,4/20/11,3,Centre for Research in Satellite Technology (CREST),Singapore,Satish Dhawan Space Centre,PSLV C16,2011-015C,37389,Government,Others,2011,4,20,812,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XW-1 (Hope Oscar 68  HO-68  Xi Wang 1  Hope-1  CAS-1),China,China,DFH Satellite Co. Ltd./AMSAT-China,Civil,Communications,NAN,LEO,Sun-Synchronous,0,1193,1205,1.32,0,100.3,109.4,60,NAN,NAN,12/15/09,NAN,DFH Satellite Co. Ltd.,China,Taiyuan Launch Center,Long March 4C,2009-072B,36122,Civil,China,2009,12,15,1199,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XW-2A (CAS-3A),China,China,Chinese Amateur Satellite (CAMSAT),Civil,Communications,NAN,LEO,Sun-Synchronous,0,518,535,3.06,0,97.46,95.17,25,NAN,NAN,9/19/15,NAN,DFH Satellite Co. Ltd./CAMSAT,China,Taiyuan Launch Center,Long March 6,2015-049E,40903,Civil,China,2015,9,19,526.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XW-2B (CAS-3B),China,China,Chinese Amateur Satellite (CAMSAT),Civil,Communications,NAN,LEO,Sun-Synchronous,0,520,539,-1.96,0,97.46,95.22,10,NAN,NAN,9/19/15,NAN,DFH Satellite Co. Ltd./CAMSAT,China,Taiyuan Launch Center,Long March 6,2015-049N,40911,Civil,China,2015,9,19,529.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XW-2C (CAS-3C),China,China,Chinese Amateur Satellite (CAMSAT),Civil,Communications,NAN,LEO,Sun-Synchronous,0,519,538,-3.06,0,97.46,95.21,10,NAN,NAN,9/19/15,NAN,DFH Satellite Co. Ltd./CAMSAT,China,Taiyuan Launch Center,Long March 6,2015-049H,40906,Civil,China,2015,9,19,528.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XW-2D (CAS-3D),China,China,Chinese Amateur Satellite (CAMSAT),Civil,Communications,NAN,LEO,Sun-Synchronous,0,520,539,-0.43,0,97.46,95.22,10,NAN,NAN,9/19/15,NAN,DFH Satellite Co. Ltd./CAMSAT,China,Taiyuan Launch Center,Long March 6,2015-049J,40907,Civil,China,2015,9,19,529.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XW-2F (CAS-3F),China,China,Chinese Amateur Satellite (CAMSAT),Civil,Communications,NAN,LEO,Sun-Synchronous,0,520,540,0.82,0,97.46,95.23,2,NAN,NAN,9/19/15,NAN,DFH Satellite Co. Ltd./CAMSAT,China,Taiyuan Launch Center,Long March 6,2015-049M,40910,Civil,China,2015,9,19,530,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XY-S1 (Xingyun Shiyan-1),China,China,China Aerospace Science and Technology Corp. (CASC),Government,Technology Development,NAN,LEO,Sun-Synchronous,0,529,541,0.34,0,97.54,95.33,2,NAN,NAN,1/9/17,NAN,Ninth Academy of CASIC,China,Jiuquan Satellite Launch Center,Kuaizhou,2017-002A,41913,Government,China,2017,1,9,535,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 10 (Remote Sensing Satellite 10),China,China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,625,628,0.38,0,97.8,97.2,NAN,NAN,NAN,8/9/10,NAN,Shanghai Academy of Satellite Technology (SAST),China,Taiyuan Launch Center,Long March 4C,2010-038A,36834,Military,China,2010,8,9,626.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 11 (Remote Sensing Satellite 11),China,China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,626,668,2.58,0,97.9,97.7,NAN,NAN,NAN,9/22/10,NAN,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2010-047A,37165,Military,China,2010,9,22,647,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 12 (Remote Sensing Satellite 12),China,China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,487,496,3.1,0,97.4,94.4,NAN,NAN,NAN,11/9/11,NAN,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2011-066B,37875,Military,China,2011,11,9,491.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 13 (Remote Sensing Satellite 13),China,China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,506,507,-1.47,0,97.4,94.8,NAN,NAN,NAN,11/29/11,NAN,Shanghai Academy of Satellite Technology (SAST),China,Taiyuan Launch Center,Long March 2C,2011-072A,37941,Military,China,2011,11,29,506.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 14 (Remote Sensing Satellite 14),China,China,People's Liberation Army (C41),Military,Earth Observation,NAN,LEO,Sun-Synchronous,0,469,481,1.64,0,97.3,94.1,NAN,NAN,NAN,5/10/12,NAN,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2012-021A,38257,Military,China,2012,5,10,475,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 15 (Remote Sensing Satellite 15),China,China,People's Liberation Army (C41),Military,Earth Observation,NAN,LEO,Polar,0,1201,1207,-1.8,0,100.2,109.5,1040,NAN,NAN,5/29/12,NAN,Shanghai Academy of Satellite Technology (SAST),China,Taiyuan Launch Center,Long March 4C,2012-029A,38354,Military,China,2012,5,29,1204,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 16A (Remote Sensing Satellite 16A  Yaogan Weixing 16),China,China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1080,1089,2.22,0,63.38,106.93,NAN,NAN,NAN,11/25/12,NAN,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2012-066A,39011,Military,China,2012,11,25,1084.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 16B (Remote Sensing Satellite 16B),NR,China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1079,1090,1.38,0,63.38,106.93,NAN,NAN,NAN,11/25/12,NAN,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2012-066B,39012,Military,China,2012,11,25,1084.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 16C (Remote Sensing Satlelite 16C),NR,China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1032,1081,0.92,0,63.38,106.33,NAN,NAN,NAN,11/25/12,NAN,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2012-066C,39013,Military,China,2012,11,25,1056.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 17A (Remote Sensing Satellite 17A  Yaogan Weixing 17),China,China,People's Liberation Army (C41),Military,Earth Observation,NAN,LEO,Non-Polar Inclined,0,1076,1111,-1.23,0,63.41,107.12,NAN,NAN,NAN,9/1/13,NAN,Shanghai Academy of Satellite Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 4C,2013-046A,39239,Military,China,2013,9,1,1093.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 17B (Remote Sensing Satellite 17B),NR,China,People's Liberation Army (C41),Military,Earth Observation,NAN,LEO,Non-Polar Inclined,0,1080,1111,-1.01,0,63.42,107.13,NAN,NAN,NAN,9/1/13,NAN,Shanghai Academy of Satellite Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 4C,2013-046B,39240,Military,China,2013,9,1,1095.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 17C (Remote Sensing Satellite 17C),NR,China,People's Liberation Army (C41),Military,Earth Observation,NAN,LEO,Non-Polar Inclined,0,890,1112,2.63,0.02,63.47,105.14,NAN,NAN,NAN,9/1/13,NAN,Shanghai Academy of Satellite Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 4C,2013-046C,39241,Military,China,2013,9,1,1001,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
